"%02x %04x %04x %06x %04x %06x\r\n",maincpu.pw@(a0+20),maincpu.pw@(a0+28),maincpu.pw@(a0+2a),a6,d1&ffff,a4;
-------------------------------------------
00:关羽
06:李典
08:许褚
0E:张辽
F:曹仁
10:赵氏
14:肥肥
15:徐晃
16:晏明
--------
关羽下a替换方法 maincpu.md@1aef6=指针2下一张数值-a:
maincpu.md@1aef6=94806
maincpu.md@1aef6=94a44
-------------------------------------------
人id 状态1 状态2 指针1当前 帧数 指针2下一张
0A 0200 0C06 08ADB6 8006 089D88
09 0200 0604 087520 0006 086FD0
09 0204 0200 0879C0 0020 087344
09 0204 0200 087A10 800C 08734E
09 0208 0200 0878B6 FFFF 08746C
00 0200 0000 071724 0006 0709E0
00 0200 02FF 071772 0006 0709EA
00 0200 02FF 071798 0006 0709F4
00 0200 02FF 0717D6 0006 0709FE
00 0200 02FF 071724 0006 070A08
0A 0202 0002 08A734 0001 089E20
0A 0202 0002 08AA48 0001 089E48
0A 0202 0200 08A98E 0001 089E2A
00 0200 02FF 071772 0006 070A12
00 0200 02FF 071798 0006 070A1C
00 0200 02FF 0717D6 8006 070A26
00 0200 02FF 071542 0001 070808
0A 0202 0204 08AA7E 0008 089E52
0A 0202 0204 08A9DA 0008 089E34
0A 0202 0204 08AAAE 7FFF 089E5C
0A 0202 0204 08AA12 7FFF 089E3E
09 0200 0604 0876AE 0008 0871B4
09 0200 0606 0876AE 8010 08722C
00 0204 0004 0718B0 0004 070870
00 0204 0004 071916 8008 07087A
00 0204 0004 07186C 0001 070866
20 0202 0200 08A868 0001 089DEA
20 0202 0204 08A946 003C 089DFE
20 0200 0A06 08A1C4 0006 089CCC
20 0200 0A06 08A218 0006 089CD6
20 0200 0A06 08A26C 0006 089CE0
24 0202 0200 087B7E 0001 0870DA
20 0200 0A06 08A2C0 0006 089CEA
20 0200 0A06 08A314 0006 089CF4
20 0200 0A06 08A176 8006 089CFE
24 0202 0204 087BD4 0001 0870E4
24 0202 0204 087C30 003C 0870EE
24 0202 0402 087BD4 0009 0870F8
24 0202 0402 087868 8010 087102
24 0202 0402 0874EA 0001 086F86
24 0202 0202 087B7E 0001 0870DA
09 0200 0A04 0874EA 0001 086F86
0A 0200 0A04 08A176 0004 08A0E8
25 0200 0400 088EA4 0006 088AA4
25 0200 0400 088EF2 0006 088AAE
25 0200 0400 088F48 0006 088AB8
25 0200 0400 088F96 0006 088AC2
25 0200 0400 088FE4 0006 088ACC
25 0200 0400 088E66 8006 088AD6
24 0200 0A06 087520 0006 086F90
24 0200 0A06 08756E 0006 086F9A
25 0200 0800 088E66 0001 088A9A
24 0200 0A06 0875C4 0006 086FA4
24 0200 0A06 087612 0006 086FAE
24 0200 0A06 087660 0006 086FB8
24 0200 0A06 0874EA 8006 086FC2
25 0202 0002 0892F6 0001 088A90
25 0200 0604 089032 0008 088C60
25 0202 0200 089400 0001 088B5A
25 0202 0204 089460 0001 088B64
25 0202 0204 0894DE 003C 088B6E
00 0204 0602 07186C 0008 0708B4
00 0204 0602 0725AC 0008 0708BE
25 0202 0402 089460 0009 088B78
00 0204 0602 0715C4 FFFF 0708C8
25 0202 0402 0891CC 8010 088B82
25 0202 0402 088E66 0001 088A9A
0B 0200 040A 088EF2 0006 088AAE
0B 0200 040A 088F48 0006 088AB8
0B 0200 040A 088F96 0006 088AC2
25 0200 0A06 088EA4 0006 088AA4
0B 0200 040A 088FE4 0006 088ACC
0B 0200 040A 088E66 8006 088AD6
00 0204 0604 071840 0001 0708D6
00 0204 0608 072870 0001 0708E0
25 0200 0A06 088EF2 0006 088AAE
25 0200 0A06 088F48 0006 088AB8
25 0200 0A06 088F96 0006 088AC2
25 0200 0A06 088FE4 0006 088ACC
25 0200 0A06 088E66 8006 088AD6
0B 0208 0400 0891CC 8010 088E4A
0B 0208 0400 088E66 0001 088A9A
0B 0200 0C02 088E66 0001 088A9A
0B 0200 0C04 088E66 0004 088AE4
0B 0200 0C06 088FE4 0006 088AEE
0B 0200 0C06 088F96 0006 088AF8
0B 0200 0C06 088F48 0006 088B02
0B 0200 0C06 088EF2 0006 088B0C
0B 0200 0C06 088EA4 0006 088B16
0B 0200 0C06 088E66 8006 088B20
09 0200 0A04 0874EA 0004 0873EC
09 0202 0204 087B7E 0001 0870DA
24 0202 0204 087B7E 0001 0870DA
09 0202 0400 087C30 003C 0870EE
24 0202 0400 087C30 003C 0870EE
24 0200 0604 0876AE 0008 08723A
24 0200 0604 0876E4 0004 087244
09 0200 0A04 087868 0004 0873F6
09 0200 0A04 0878B6 000A 087400
09 0200 0A06 087868 8014 08745E
09 0200 0A06 0874EA 0001 086F86
0A 0202 0200 08AA48 0001 089E48
09 0202 0002 087A54 0001 087110
09 0202 0200 087D1E 0001 087138
09 0202 0200 087C5E 0001 08711A
09 0202 0204 087D54 0008 087142
09 0202 0204 087CAA 0008 087124
09 0202 0204 087D84 7FFF 08714C
09 0202 0204 087CE8 7FFF 08712E
06 0002 0000 095306 0030 094CB8
06 0002 0200 09534C 0009 094CC2
06 0002 0200 095392 0009 094CCC
06 0002 0200 0953D8 001B 094CD6
06 0002 0200 095392 0009 094CE0
06 0002 0200 09534C 8009 094CEA
06 0004 0200 09534C 0028 094CF8
06 0004 0200 095444 0028 094D02
06 0004 0200 095512 000C 094D0C
1E 0200 0200 083816 0001 0823C4
14 0200 0200 084164 0001 083B04
1E 0200 0802 083816 0001 0823C4
14 0200 0C02 084164 0001 083B04
06 0004 0200 094E8E 0008 094D16
14 0200 0C04 084164 0004 083B4E
14 0200 0C06 0842B0 0008 083B58
14 0200 0402 084164 0001 083B04
06 0004 0200 094EC4 8008 094D20
14 0200 040A 08418A 0008 083B0E
14 0200 040A 0841D0 0008 083B18
06 0004 0200 094E8E 0001 094B80
06 0200 0402 094E8E 0001 094B80
14 0200 040A 0841FE 0008 083B22
06 0202 0002 09561A 8001 0947AC
14 0200 040A 08423C 0008 083B2C
14 0200 040A 08426A 0008 083B36
14 0200 040A 0842B0 8008 083B40
06 0202 0002 0956A0 8001 0947BA
06 0202 0200 095724 0001 0947D4
14 0200 0406 08418A 0008 083B0E
06 0202 0204 09575A 0001 0947DE
14 0200 0406 0841D0 0008 083B18
14 0200 0406 0841FE 0008 083B22
14 0200 0406 08423C 0008 083B2C
06 0202 0204 0957C6 0014 0947E8
14 0200 0406 08426A 0008 083B36
14 0200 0406 0842B0 8008 083B40
06 0202 0402 095512 8008 094810
14 0200 0408 0841FE 0008 083B22
06 0202 0402 094E8E 0001 094B80
14 0200 0408 08423C 0008 083B2C
06 0200 040A 094E8E 000A 094B8A
06 0200 040A 094EC4 000A 094B94
06 0200 040A 094F12 000A 094B9E
14 0202 0200 0849EC 0001 083BA4
06 0200 040A 094F68 800A 094BA8
06 0200 0604 094E8E 0006 0948E0
14 0202 0204 084A26 0001 083BAE
1E 0200 0600 082DE6 0007 0823CE
1E 0200 0600 082E34 0007 0823D8
14 0208 0400 0848D2 8014 083BDA
1E 0200 0604 083948 0005 0825D6
14 0202 0204 084A72 0014 083BB8
1E 0202 0002 083124 8001 08246E
14 0208 0400 084164 0001 083B04
14 0202 0002 08492C 0001 083AFA
14 0202 0402 084A26 0014 083BC2
06 0200 0E02 094E8E 0001 094B80
06 0200 0E04 094FB6 000A 094BE2
14 0200 0604 0842B0 0007 083C70
14 0202 0402 0848D2 800C 083BCC
14 0202 0402 084164 0001 083B04
1E 0200 0402 083816 0001 0823C4
1E 0200 040A 082DE6 0007 0823CE
1E 0200 0406 082DE6 0007 0823CE
1E 0200 0406 082E34 0007 0823D8
1E 0200 0406 082E82 0007 0823E2
1E 0200 0406 082EE8 0007 0823EC
14 0200 0606 084502 0009 083D18
1E 0200 0406 082F3E 0007 0823F6
1E 0200 0406 082F94 8007 082400
1E 0200 0408 082EE8 0007 0823EC
1E 0200 0408 082F3E 0007 0823F6
1E 0200 0408 082F94 8007 082400
06 0200 0604 094FB6 0006 094A44
1E 0200 0408 082DE6 0007 0823CE
1E 0200 0408 082E34 0007 0823D8
1E 0200 0408 082E82 0007 0823E2
14 0202 0002 084984 8001 083AEC
1E 0200 040A 082E34 0007 0823D8
06 0200 0606 094FB6 8008 094C84
1E 0200 040A 082E82 0007 0823E2
06 0200 0606 094E8E 0001 094B80
1E 0200 040A 082EE8 0007 0823EC
1E 0200 040A 082F3E 0007 0823F6
1E 0200 040A 082F94 8007 082400
06 0200 0606 095152 0007 094958
06 0200 0606 09511C 8008 094962
06 0200 0604 094E8E 0004 094AA2
06 0200 0604 0955D4 7FFF 094ADE
14 0200 0604 084502 0008 083E7A
14 0200 0604 084538 0007 083E84
14 0200 0604 08456E 0006 083E8E
14 0200 0604 084600 0027 083E98
01 0200 0000 084636 0005 083FC8
14 0200 0604 084600 0001 083EA2
14 0200 0604 0845D2 001E 083EAC
06 0200 0406 094E8E 000A 094B8A
06 0200 0406 094EC4 000A 094B94
06 0200 0406 094F12 000A 094B9E
00 0004 0200 0715AA FFFF 0709AC
06 0200 0406 094F68 800A 094BA8
00 0004 0400 07156E 8008 0709BA
1E 0202 0200 083204 0001 0824C2
1E 0202 0204 083260 0001 0824CC
1E 0202 0204 083300 0014 0824D6
1E 0202 0402 0833A0 8008 0824FE
1E 0202 0402 083816 0001 0823C4
06 0200 0600 094E8E 000A 094B8A
06 0200 0600 094EC4 000A 094B94
14 0200 0600 08418A 0008 083B0E
14 0200 0600 0841D0 0008 083B18
14 0200 0600 0841FE 0008 083B22
14 0200 0600 08423C 0008 083B2C
14 0200 0600 08426A 0008 083B36
14 0200 0604 0846D6 000C 083ECE
14 0200 0604 0846EA 0028 083ED8
14 0200 0C04 08418A 0008 083B0E
14 0200 0C06 0841D0 0008 083B18
14 0200 0C06 0841FE 0008 083B22
14 0200 0C06 08423C 0008 083B2C
14 0200 0200 08426A 0008 083B36
14 0200 0C06 08426A 0008 083B62
14 0200 0C06 08423C 0008 083B6C
14 0200 0C06 0841FE 0008 083B76
14 0200 0C06 0841D0 0008 083B80
14 0200 0604 0843F4 0005 083D4E
14 0200 0604 0843B6 0003 083D58
14 0200 0604 0843F4 0005 083D62
14 0200 0604 0843B6 0003 083D6C
14 0200 0604 0843F4 0008 083D76
14 0200 0604 0843F4 0001 083D80
14 0200 0604 0842DE 0004 083D8A
14 0200 0604 084314 0004 083D94
14 0200 0604 08434A 0004 083D9E
14 0200 0604 084380 0004 083DA8
14 0200 0604 0843B6 0004 083DB2
14 0200 0604 0843F4 8004 083DBC
1E 0200 0A04 083816 0001 0823C4
1E 0200 0A04 083948 0005 082674
1E 0202 0002 08303C 8001 08247C
14 0200 0604 08492C 8001 083DCA
14 0200 0604 0848D2 000C 083DE6
06 0200 0600 094F12 000A 094B9E
06 0200 0600 094F68 800A 094BA8
06 0200 0604 094FB6 000A 094C4E
06 0200 0604 095004 0003 094C58
06 0200 0604 095032 0003 094C62
06 0200 0604 095B04 0003 094C6C
06 0200 0604 095B32 8003 094C76
06 0200 0604 095560 0001 094AE8
06 0202 0202 095724 0001 0947D4
0A 0200 0200 08A176 0001 089CC2
06 0200 0A04 094E8E 0001 094B80
06 0200 0A08 094E8E 0006 094A04
06 0200 0604 095032 0005 094A4E
06 0200 0604 094E8E 0006 09488C
06 0202 0002 09561A 001E 09481E
06 0202 0200 095ACE 0008 094828
06 0202 0200 095A98 0008 094850
06 0202 0202 09597A 0001 094832
06 0202 0202 09592C 0001 09485A
06 0202 0204 0959B8 0008 094864
06 0202 0204 095A06 0008 09483C
06 0202 0204 095A3C 7FFF 09486E
06 0202 0204 095A6A 7FFF 094846
00 0602 0200 071542 0010 070B88
00 0602 0200 07194A 000C 070B92
00 0602 0200 071A26 8020 070B9C
0A 0002 0000 08A946 8008 089DA0
07 0002 0000 0832EA 0004 082852
1E 0002 0000 083300 0004 08239C
1E 0004 0200 083344 0004 0823A6
1E 0004 0200 0833A0 000A 0823B0
1E 0004 0200 083816 000C 0823BA
1E 0004 0200 083816 0001 0823C4
07 0004 0200 083316 0004 08285C
07 0004 0200 083372 0004 082866
07 0004 0200 0836A4 000A 082870
07 0004 0200 08367E 0008 08287A
07 0004 0200 08367E 0001 082884
07 0200 0402 08367E 0001 082884
07 0200 040A 082C3A 0005 08288E
07 0200 040A 082C78 0005 082898
07 0200 040A 082CB6 0005 0828A2
07 0200 040A 082D0C 0005 0828AC
07 0200 040A 082D52 0005 0828B6
0A 0200 0C04 08AC22 0006 089D56
07 0200 040A 082D98 8005 0828C0
07 0200 0406 082C3A 0005 08288E
07 0200 0406 082C78 0005 082898
07 0200 0406 082CB6 0005 0828A2
07 0200 0406 082D0C 0005 0828AC
07 0200 0406 082D52 0005 0828B6
07 0200 0406 082D98 8005 0828C0
07 0200 0408 082D98 8005 0828C0
07 0200 0408 082C3A 0005 08288E
07 0200 0408 082C78 0005 082898
07 0200 0408 082CB6 0005 0828A2
07 0200 0408 082D0C 0005 0828AC
07 0200 0408 082D52 0005 0828B6
07 0202 0002 0830E6 8001 08292E
07 0202 0002 082FFC 8001 08293C
07 0202 0200 0831CE 0001 082982
07 0202 0204 083232 0001 08298C
07 0202 0204 0832EA 0014 082996
07 0202 0402 083372 8008 0829BE
07 0202 0402 08367E 0001 082884
07 0200 0604 082C3A 0005 08288E
1E 0200 0604 083856 0006 08272C
1E 0200 0604 08389C 0008 082736
1E 0200 0604 08390A 0010 082740
1E 0200 0604 083A42 0008 08274A
00 0200 0000 07C16C 0003 07BBF4
00 0200 0000 07C144 0003 07BBFE
00 0200 0000 07C158 0003 07BC08
00 0200 0000 07C180 0003 07BC12
00 0200 0000 07C19E 7FFF 07BC1C
00 0200 0000 07C9AC 0001 07BC26
1E 0200 0604 083856 0006 082754
1E 0200 0604 08389C 0008 08275E
1E 0200 0604 083856 0006 082704
07 0200 0A04 08367E 0001 082884
07 0200 0A06 083710 0007 082B84
07 0200 0604 08379A 0006 082BE6
07 0200 0606 0836A4 0008 082C22
07 0200 0606 08367E 8010 082C2C
07 0200 0606 08367E 0001 082884
07 0200 0604 082C78 0005 082898
07 0200 0604 082CB6 0005 0828A2
07 0200 0A06 0836A4 0006 082B58
1E 0200 0C02 083816 0001 0823C4
1E 0200 0C04 082F94 0007 08240E
1E 0200 0C06 082F3E 0007 082418
1E 0200 0C06 082EE8 0007 082422
00 0200 0200 071772 0006 0709EA
00 0200 0200 071798 0006 0709F4
1E 0200 0604 083948 0005 082674
1E 0200 0604 083816 0006 08269C
1E 0200 0604 083856 0006 0826A6
1E 0200 0604 08389C 0008 0826B0
1E 0200 0604 08390A 0010 0826BA
1E 0200 0604 083A42 0008 0826C4
1E 0200 0604 083856 0006 0826CE
1E 0200 0604 08389C 0008 0826D8
00 0402 0000 07C986 7FFF 07BC30
1E 0200 0604 08390A 0010 0826E2
1E 0200 0604 083A42 0008 0826EC
1E 0200 0606 083816 8008 0826F6
1E 0200 0606 083816 0001 0823C4
1E 0200 0600 082E82 0007 0823E2
1E 0200 0600 082EE8 0007 0823EC
1E 0200 0600 082F3E 0007 0823F6
07 0200 0604 082D0C 0005 0828AC
07 0200 0604 0836A4 0006 082A74
1E 0200 0606 083816 8008 0825FE
1E 0200 0604 08390A 0010 082768
1E 0200 0604 083A42 0008 082772
1E 0200 0606 083816 8008 08277C
1E 0200 0604 08389C 0008 08270E
00 0200 0200 0717D6 0006 0709FE
00 0200 0200 071724 0006 070A08
00 0200 0200 071772 0006 070A12
00 0200 0200 071798 0006 070A1C
00 0200 0200 0717D6 8006 070A26
00 0200 0200 071542 0001 070808
