   963D0    4    0 ww
   3E6DA   44 FBE0 ww
   3E6E2   24   E7 ww
   3E6DA   44 FB80 ww
   3E6E2   24   E2 ww
   3E6DA   44 FB20 ww
   3E6E2   24   DD ww
   3E6DA   44 FAC0 ww
   3E6E2   24   D8 ww
   3E6DA   44 FA60 ww
   3E6E2   24   D3 ww
   3E6E2   26    0 ww
   3E6DA   44 FA00 ww
   3E6E2   24   CD ww
   3E6DA   44 F9A0 ww
   3E6E2   24   C6 ww
   3E6DA   44 F940 ww
   3E6E2   24   BF ww
   3E6DA   44 F8E0 ww
   3E6E2   24   B8 ww
     FBE    1    1 ww
   15B78   76    0 ww
   15B7C   77    0 ww
   3E6DA   44 F880 ww
   3E6E2   24   B1 ww
   3E6DA   44 F820 ww
   3E6E2   24   A9 ww
   3E6DA   44 F7C0 ww
   3E6E2   24   A1 ww
   3E6DA   44 F760 ww
   3E6E2   24   98 ww
   3E6DA   44 F700 ww
   3E6E2   24   8F ww
   3E6DA   44 F6A0 ww
   3E6E2   24   86 ww
   3E6DA   44 F640 ww
   3E6E2   24   7C ww
   3E6DA   44 F5E0 ww
   3E6E2   24   72 ww
   3E6DA   44 F580 ww
   3E6E2   24   67 ww
   3E6DA   44 F520 ww
   3E6E2   24   5C ww
   3E6DA   44 F4C0 ww
   3E6E2   24   51 ww
   3E6DA   44 F460 ww
   3E6E2   24   46 ww
   3E6DA   44 F400 ww
   3E6E2   24   3A ww
   3E6DA   44 F3A0 ww
   3E6E2   24   2D ww
   3E6DA   44 F340 ww
   3E6E2   24   20 ww
   3F72E   24   20 ww
   3F732    C    C ww
   5C490   86 F90E ww
    1190   10    8 ww
    1194   16    C ww
    1194   18 58CE ww
    119C   12    C ww
    119C   14 63FC ww
    11A0   1C    0 ww
    11A4   1A    0 ww
    11A8   3C    0 ww
    11AC   3E   3C ww
    1178   10    7 ww
    1178   10    6 ww
    1178   10    5 ww
    1178   10    4 ww
    1178   10    3 ww
    1178   10    2 ww
    1178   10    1 ww
    1178   10    0 ww
    1190   10    3 ww
    1194   18 58D2 ww
    119C   14 63DE ww
    11AC   3E   30 ww
    1186   11   FF ww
    11C0   18 58CA ww
    11C8   14 63DE ww
    11D8   3E   30 ww
   3F756    C   10 ww
   3F75C   44  500 ww
   3F762   40 FC00 ww
    11C0   18 58D8 ww
    11C8   14 65FA ww
    11D8   3E   60 ww
   3E6DA   44  4A0 ww
   3E6E2   24   25 ww
    1C18   40 FC00 ww
    1C20   20  79C ww
   3F586   48  79C ww
   3E6DA   44  440 ww
   3E6E2   24   29 ww
    1C20   20  798 ww
   3F586   48  798 ww
   3E6DA   44  3E0 ww
    1C20   20  794 ww
   3F586   48  794 ww
   3E6DA   44  380 ww
   3E6E2   24   31 ww
    1C20   20  790 ww
   3F586   48  790 ww
   3E6DA   44  320 ww
   3E6E2   24   34 ww
    1C20   20  78C ww
   3F586   48  78C ww
   3E6DA   44  2C0 ww
   3E6E2   24   37 ww
    1C20   20  788 ww
   3F586   48  788 ww
   3E6DA   44  260 ww
   3E6E2   24   39 ww
    1C20   20  784 ww
   3F586   48  784 ww
   3E6DA   44  200 ww
   3E6E2   24   3B ww
    1C20   20  780 ww
   3F586   48  780 ww
   3E6DA   44  1A0 ww
   3E6E2   24   3D ww
    1C20   20  77C ww
   3F586   48  77C ww
   3E6DA   44  140 ww
   3E6E2   24   3E ww
    1C20   20  778 ww
   3F586   48  778 ww
   3E6DA   44   E0 ww
   3E6E2   24   3F ww
    1C20   20  774 ww
   3F586   48  774 ww
   3E6DA   44   80 ww
    1C20   20  770 ww
   3F586   48  770 ww
   3E6DA   44   20 ww
    1C20   20  76C ww
   3F586   48  76C ww
   3E6DA   44 FFC0 ww
    1C20   20  768 ww
   3F586   48  768 ww
   3E6DA   44 FF60 ww
    1C20   20  764 ww
   3F586   48  764 ww
   3E6DA   44 FF00 ww
    1C20   20  760 ww
   3F586   48  760 ww
   3E6DA   44 FEA0 ww
   3E6E2   24   3C ww
    1C20   20  75C ww
   3F586   48  75C ww
   3E6DA   44 FE40 ww
    1C20   20  758 ww
   3F586   48  758 ww
   3E6DA   44 FDE0 ww
   3E6E2   24   38 ww
    1C20   20  754 ww
   3F586   48  754 ww
   3E6DA   44 FD80 ww
   3E6E2   24   36 ww
    1C20   20  750 ww
   3F586   48  750 ww
   3E6DA   44 FD20 ww
   3E6E2   24   33 ww
    1C20   20  74C ww
   3F586   48  74C ww
   3E6DA   44 FCC0 ww
   3E6E2   24   30 ww
    1C20   20  748 ww
   3F586   48  748 ww
   3E6DA   44 FC60 ww
   3E6E2   24   2C ww
    1C20   20  744 ww
   3F586   48  744 ww
   3E6DA   44 FC00 ww
   3E6E2   24   28 ww
    1C20   20  740 ww
   3F6C0   50    0 ww
   3F586   48  740 ww
   3E6DA   44 FBA0 ww
   3E6E2   24   24 ww
    1C20   20  73C ww
   3F586   48  73C ww
   3E6DA   44 FB40 ww
   3E6E2   24   1F ww
    1C20   20  738 ww
   3F586   48  738 ww
   3E6DA   44 FAE0 ww
   3E6E2   24   1A ww
    1C20   20  734 ww
   3F586   48  734 ww
   3E6DA   44 FA80 ww
   3E6E2   24   14 ww
    1C20   20  730 ww
   3F586   48  730 ww
   3E6DA   44 FA20 ww
   3E6E2   24    E ww
    1C20   20  72C ww
   3F586   48  72C ww
   3E6DA   44 F9C0 ww
   3E6E2   24    8 ww
    1C20   20  728 ww
   3F586   48  728 ww
   3E6DA   44 F960 ww
   3E6E2   24    1 ww
    1C20   20  724 ww
   3F586   48  724 ww
   3E6DA   44 F900 ww
   3E6E2   24 FFFA ww
    1C20   20  720 ww
   3F72E   24    0 ww
   3F732    C   14 ww
   3F586   48  720 ww
   3F786   40    0 ww
   3F786   42    0 ww
   3F78A   44    0 ww
   3F78A   46    0 ww
   3F78E    C   18 ww
   3F7A2    8    4 ww
   3F7A6    A    0 ww
   3F7AA    C    0 ww
   3F7AA    E    0 ww
    286A   6C 8E68 ww
   3F7B6   5E 8E68 ww
   ABD66   9E    0 ww
   ABD72   7E    0 ww
   ABD80   6B    0 ww
   ABD8C   4E    0 ww
   AC102   4F    1 ww
   AC108   50    0 ww
   3F914   A4    0 ww
   3F9CE   A8 FFFF ww
   5C624   24    0 ww
   5C628   26    0 ww
   3F9DC   5E    0 ww
   3FB96    C    4 ww
   3FB9A    E    0 ww
   3F914   A4    4 ww
   3FA24    E    4 ww
   3FA28   B8    0 ww
   3FA2E   A8 152C ww
   5C490   86 FD06 ww
    11C0   18 58A8 ww
    11C8   14 6302 ww
    11D8   3E    C ww
   3FA40   BE    E ww
   3E7E2    7    0 ww
   3FA4A   BE    D ww
   3FA4A   BE    C ww
   3FA4A   BE    B ww
   3FA4A   BE    A ww
   3FA4A   BE    9 ww
   3FA4A   BE    8 ww
   3FA4A   BE    7 ww
   3FA4A   BE    6 ww
   3FA4A   BE    5 ww
   3FA4A   BE    4 ww
   3FA4A   BE    3 ww
   3FA4A   BE    2 ww
   3FA4A   BE    1 ww
   3FA4A   BE    0 ww
   3FA52    E    8 ww
   4050E   BE   32 ww
   3FA90   BE   31 ww
   3FA90   BE   30 ww
   3FA90   BE   2F ww
   3FA90   BE   2E ww
   3FA90   BE   2D ww
   3FA90   BE   2C ww
   3FA90   BE   2B ww
   3FA90   BE   2A ww
   3FA90   BE   29 ww
   3FA90   BE   28 ww
   3FA90   BE   27 ww
   3FA90   BE   26 ww
   3FA90   BE   25 ww
   3FA90   BE   24 ww
   3FA90   BE   23 ww
   3FA90   BE   22 ww
   3FA90   BE   21 ww
   3FA90   BE   20 ww
   3FA90   BE   1F ww
   3FA90   BE   1E ww
   3FA90   BE   1D ww
   3FA90   BE   1C ww
   3FA90   BE   1B ww
   3FA90   BE   1A ww
   3FA90   BE   19 ww
   3FA90   BE   18 ww
   3FA90   BE   17 ww
   3FA90   BE   16 ww
   3FA90   BE   15 ww
   3FA90   BE   14 ww
   3FA90   BE   13 ww
   3FA90   BE   12 ww
   3FA90   BE   11 ww
   3FA90   BE   10 ww
   3FA90   BE    F ww
   3FA90   BE    E ww
   3FA90   BE    D ww
   3FA90   BE    C ww
   3FA90   BE    B ww
   3FA90   BE    A ww
   3FA90   BE    9 ww
   3FA90   BE    8 ww
   3FA90   BE    7 ww
   3FA90   BE    6 ww
   3FA90   BE    5 ww
   3FA90   BE    4 ww
   3FA90   BE    3 ww
   3FA90   BE    2 ww
   3FA90   BE    1 ww
   3FA90   BE    0 ww
   3FBAE    C    C ww
   3FBB2    E    0 ww
   3F914   A4    C ww
   3FAB0    E    4 ww
   3FAB6   A8 1488 ww
   5C490   86 FE0E ww
    1194   18 58E2 ww
    119C   14 66DC ww
    11AC   3E   84 ww
   40868    4    8 ww
   4087E    4   18 ww
   3FACA   B8    0 ww
   3FAD2   2C   10 ww
   3FAD2   2E 7FBC ww
   3FAD8   BA   10 ww
   3FADE   BE   14 ww
   3FAF2   BE   13 ww
   408DE   BA    F ww
     E08   20  71D ww
     E08   22 8000 ww
     E12   28  150 ww
     E12   2A    0 ww
   3F586   48  71D ww
   3FAF2   BE   12 ww
   408DE   BA    E ww
     E08   20  71B ww
     E08   22    0 ww
   3F586   48  71B ww
   3FAF2   BE   11 ww
   408DE   BA    D ww
     E08   20  718 ww
   3F586   48  718 ww
   3FAF2   BE   10 ww
   408DE   BA    C ww
     E08   20  716 ww
   3F586   48  716 ww
   3FAF2   BE    F ww
   408DE   BA    B ww
     E08   20  713 ww
   3F586   48  713 ww
   3FAF2   BE    E ww
   408DE   BA    A ww
     E08   20  711 ww
   3F586   48  711 ww
   3FAF2   BE    D ww
   408DE   BA    9 ww
     E08   20  70E ww
   3F586   48  70E ww
   3FAF2   BE    C ww
   408DE   BA    8 ww
     E08   20  70C ww
    1194   18 58E6 ww
    119C   14 670A ww
   3F586   48  70C ww
   3FAF2   BE    B ww
   408DE   BA    7 ww
     E08   20  709 ww
   3F586   48  709 ww
   3FAF2   BE    A ww
   408DE   BA    6 ww
     E08   20  707 ww
   3F586   48  707 ww
   3FAF2   BE    9 ww
   408DE   BA    5 ww
     E08   20  704 ww
   3F586   48  704 ww
   3FAF2   BE    8 ww
   408DE   BA    4 ww
     E08   20  702 ww
   3F586   48  702 ww
   3FAF2   BE    7 ww
   408DE   BA    3 ww
     E08   20  6FF ww
   3F586   48  6FF ww
   3FAF2   BE    6 ww
   408DE   BA    2 ww
     E08   20  6FD ww
   3F586   48  6FD ww
   3FAF2   BE    5 ww
   408DE   BA    1 ww
     E08   20  6FA ww
   3F586   48  6FA ww
   3FAF2   BE    4 ww
   408DE   BA    0 ww
   40906   BA    A ww
     E08   20  6F8 ww
    1194   18 58EA ww
    119C   14 6728 ww
   3F586   48  6F8 ww
   3FAF2   BE    3 ww
     E08   20  6F5 ww
   3F586   48  6F5 ww
   3FAF2   BE    2 ww
     E08   20  6F3 ww
   3F586   48  6F3 ww
   3FAF2   BE    1 ww
     E08   20  6F0 ww
   3F586   48  6F0 ww
   3FAF2   BE    0 ww
   3FAFA    E    8 ww
   4050E   BE   46 ww
     E08   20  6EE ww
   3F586   48  6EE ww
    3948   6C 8E68 ww
   3FBDE    C   5C ww
   3FBE2    E    0 ww
   3F914   A4   5C ww
   5B64E   6E   B0 ww
   5B682   6E FF50 ww
   5B6B0   70   10 ww
   5C59C    4    8 ww
   3E792    7    1 ww
   5B8FA    C   30 ww
   5B8FE    E    0 ww
   3F914   A4   30 ww
   5BD72    E    4 ww
   5BD78   A8   50 ww
   5BD7E   40    3 ww
   5BD8E   A8 110C ww
   5BD94   40    4 ww
   5BD9A   44  600 ww
   5BDA0   44  600 ww
   5BDA6   46 FFA0 ww
   5BDB2   40 FFFC ww
   5BDB8   5A    3 ww
   5BDBC   B8    0 ww
    1190   10    4 ww
    1194   18 59CE ww
   3F920   5A    2 ww
   3F920   5A    1 ww
   3F920   5A    0 ww
    1190   10    1 ww
    1194   18 59D2 ww
    1186   11    1 ww
    1194   18 59D6 ww
    119C   14 663E ww
    11AC   3E   6C ww
   5BDDC    E    8 ww
   5BDE2   A8    0 ww
   5BDE8   24   38 ww
   5BDF0   20  6EA ww
   3F586   48  6EA ww
    1194   18 59DA ww
   5BE08   20  6E6 ww
   3E6DA   44  5A0 ww
   3F586   48  6E6 ww
   5BE08   20  6E2 ww
   3E6DA   44  540 ww
   3E6E2   24   42 ww
   3F586   48  6E2 ww
   5BE08   20  6DE ww
   3E6DA   44  4E0 ww
   3E6E2   24   47 ww
   3F586   48  6DE ww
   5BE08   20  6DA ww
   3E6DA   44  480 ww
   3E6E2   24   4C ww
   3F586   48  6DA ww
    1190   10    6 ww
    1194   18 59DE ww
    119C   14 6B80 ww
   5BE08   20  6D6 ww
   3E6DA   44  420 ww
   3E6E2   24   50 ww
   3F586   48  6D6 ww
   5BE08   20  6D2 ww
   3E6DA   44  3C0 ww
   3E6E2   24   54 ww
   3F586   48  6D2 ww
   5BE08   20  6CE ww
   3E6DA   44  360 ww
   3E6E2   24   57 ww
   3F586   48  6CE ww
   5BE08   20  6CA ww
   3E6DA   44  300 ww
   3E6E2   24   5A ww
   3F586   48  6CA ww
   5BE08   20  6C6 ww
   3E6DA   44  2A0 ww
   3E6E2   24   5D ww
   3F586   48  6C6 ww
   5BE08   20  6C2 ww
   3E6DA   44  240 ww
   3E6E2   24   5F ww
   3F586   48  6C2 ww
    1190   10    7 ww
    1194   18 59E2 ww
    119C   14 6BC4 ww
   5BE08   20  6BE ww
   3E6DA   44  1E0 ww
   3E6E2   24   61 ww
   3F586   48  6BE ww
   5BE08   20  6BA ww
   3E6DA   44  180 ww
   3E6E2   24   62 ww
   3F586   48  6BA ww
   5BE08   20  6B6 ww
   3E6DA   44  120 ww
   3E6E2   24   63 ww
   3F586   48  6B6 ww
   5BE08   20  6B2 ww
   3E6DA   44   C0 ww
   3E6E2   24   64 ww
   3F586   48  6B2 ww
   5BE08   20  6AE ww
   3E6DA   44   60 ww
   3E6E2   24   65 ww
   3F586   48  6AE ww
   5BE08   20  6AA ww
   3E6DA   44    0 ww
   3F586   48  6AA ww
   5BE08   20  6A6 ww
   3F586   48  6A6 ww
    11C0   18 59CA ww
    11C8   14 64CE ww
    11D8   3E   6C ww
   5BE08   20  6A2 ww
   3F586   48  6A2 ww
   5BE08   20  69E ww
   3F586   48  69E ww
   5BE08   20  69A ww
   3F586   48  69A ww
   5BE08   20  696 ww
   3F586   48  696 ww
   5BE08   20  692 ww
   3F586   48  692 ww
   5BE08   20  68E ww
   3F586   48  68E ww
   5BE08   20  68A ww
   3F586   48  68A ww
   5BE08   20  686 ww
   3F586   48  686 ww
   5BE08   20  682 ww
   3F586   48  682 ww
   5BE08   20  67E ww
   3F586   48  67E ww
   5BE08   20  67A ww
   3F586   48  67A ww
   5BE08   20  676 ww
   3F586   48  676 ww
   5BE08   20  672 ww
   3F586   48  672 ww
   5BE08   20  66E ww
   3F586   48  66E ww
   5BE08   20  66A ww
   3E6E2   24   32 ww
   3F586   48  66A ww
   5BE08   20  666 ww
   3E6E2   24   2B ww
   3F586   48  666 ww
   5BE08   20  662 ww
   3F586   48  662 ww
   5BE08   20  65E ww
   3E6E2   24   1D ww
   3F586   48  65E ww
   5BE08   20  65A ww
   3E6E2   24   16 ww
   3F586   48  65A ww
   5BE08   20  656 ww
   3F586   48  656 ww
   5BE08   20  652 ww
   3E6E2   24    6 ww
   3F586   48  652 ww
   5BE08   20  64E ww
   3E6E2   24 FFFD ww
   5BE1E   24    0 ww
   5BE22   26    0 ww
   5BE26   40    0 ww
   5BE2A   44    0 ww
   5BE2A   46    0 ww
   5BE2E    E    C ww
   5BE34   A8 1111 ww
   3F586   48  64E ww
   5BE6C    C    0 ww
   5BE6C    E    0 ww
   40758    C   24 ww
   4075C    E    0 ww
   3F914   A4   24 ww
   3FEFC    E    4 ww
   3FF00   B8    1 ww
   3FF06   A8 1000 ww
    1190   10    C ww
    1194   18 5934 ww
    119C   14 6564 ww
    11AC   3E   54 ww
   3FF16   5E    0 ww
   3E7DA    7    1 ww
   3FF22   40 F300 ww
   3FF28   42   78 ww
   3FF2C   44    0 ww
   3FF2C   46    0 ww
   3FF32    4   18 ww
   3FF3E   40  D00 ww
   3FF42   42 FF88 ww
   3FF48    4    8 ww
    3646   34   1C ww
    1D86   52   A5 ww
   5C650   24    0 ww
   5C654   26    0 ww
   5C658   44    0 ww
   5C658   46    0 ww
    1178   10    B ww
    1178   10    A ww
    1178   10    9 ww
    1178   10    8 ww
    1190   10   18 ww
    1194   18 5938 ww
    119C   14 6682 ww
    11A0   1C    5 ww
    11A4   1A    4 ww
    11A8   3C  168 ww
    11AC   3E   78 ww
   5C5F6   40  C88 ww
   5C5FE   20  65A ww
   5C5FE   22 8800 ww
   903F8   1E    A ww
   90426   5E 8E68 ww
   3F92C   1E    9 ww
   3F92C   1E    8 ww
   3F92C   1E    7 ww
   3F92C   1E    6 ww
   3F92C   1E    5 ww
   3F92C   1E    4 ww
   3F92C   1E    3 ww
   3F92C   1E    2 ww
   3F92C   1E    1 ww
   3F92C   1E    0 ww
    1178   10   17 ww
   5C5F6   40  C10 ww
   5C5FE   20  666 ww
   5C5FE   22 9800 ww
    1178   10   16 ww
   5C5F6   40  B98 ww
   5C5FE   20  672 ww
   5C5FE   22 3000 ww
    1178   10   15 ww
   5C5F6   40  B20 ww
   5C5FE   20  67D ww
   5C5FE   22 5000 ww
   3F586   48  67D ww
    1178   10   14 ww
   5C5F6   40  AA8 ww
   5C5FE   20  687 ww
   5C5FE   22 F800 ww
   3F586   48  687 ww
    1178   10   13 ww
   5C5F6   40  A30 ww
   5C5FE   20  692 ww
   5C5FE   22 2800 ww
    1178   10   12 ww
   5C5F6   40  9B8 ww
   5C5FE   20  69B ww
   5C5FE   22 E000 ww
   3F586   48  69B ww
    1178   10   11 ww
   5C5F6   40  940 ww
   5C5FE   20  6A5 ww
   5C5FE   22 2000 ww
   3F586   48  6A5 ww
    1178   10   10 ww
   5C5F6   40  8C8 ww
   5C5FE   20  6AD ww
   5C5FE   22 E800 ww
   3F586   48  6AD ww
    1178   10    F ww
   5C5F6   40  850 ww
   5C5FE   20  6B6 ww
   5C5FE   22 3800 ww
    1178   10    E ww
   5C5F6   40  7D8 ww
   5C5FE   20  6BE ww
   5C5FE   22 1000 ww
    1178   10    D ww
   5C5F6   40  760 ww
   5C5FE   20  6C5 ww
   5C5FE   22 7000 ww
   3F586   48  6C5 ww
    1178   10    C ww
   5C5F6   40  6E8 ww
   5C5FE   20  6CC ww
   5C5FE   22 5800 ww
   3F586   48  6CC ww
   5C5F6   40  670 ww
   5C5FE   20  6D2 ww
   5C5FE   22 C800 ww
   5C5F6   40  5F8 ww
   5C5FE   20  6D8 ww
   5C5FE   22 C000 ww
   3F586   48  6D8 ww
   5C5F6   40  580 ww
   5C5FE   20  6DE ww
   5C5FE   22 4000 ww
   5C5F6   40  508 ww
   5C5FE   20  6E3 ww
   5C5FE   22 4800 ww
   3F586   48  6E3 ww
   5C5F6   40  490 ww
   5C5FE   20  6E7 ww
   5C5FE   22 D800 ww
   3F586   48  6E7 ww
   5C5F6   40  418 ww
   5C5FE   20  6EB ww
   5C5FE   22 F000 ww
   3F586   48  6EB ww
   5C5F6   40  3A0 ww
   5C5FE   20  6EF ww
   5C5FE   22 9000 ww
   3F586   48  6EF ww
   5C5F6   40  328 ww
   5C5FE   20  6F2 ww
   5C5FE   22 B800 ww
   3F586   48  6F2 ww
   5C5F6   40  2B0 ww
   5C5FE   20  6F5 ww
   5C5FE   22 6800 ww
   5C5F6   40  238 ww
   5C5FE   20  6F7 ww
   5C5FE   22 A000 ww
   3F586   48  6F7 ww
   5C5F6   40  1C0 ww
   5C5FE   20  6F9 ww
   5C5FE   22 6000 ww
   3F586   48  6F9 ww
    1194   18 593C ww
    119C   14 66A0 ww
    11A4   1A   14 ww
   5C5F6   40  148 ww
   5C5FE   20  6FA ww
   5C5FE   22 A800 ww
   5C5F6   40   D0 ww
   5C5FE   20  6FB ww
   5C5FE   22 7800 ww
   3F586   48  6FB ww
   5C5F6   40   58 ww
   5C5FE   22 D000 ww
   5C5E2   40    0 ww
   5C5E2   42    0 ww
    1194   18 5940 ww
    11B6   10    1 ww
    11C0   18 5930 ww
   5B6B0   70    0 ww
   5B554    E    4 ww
   5B55E    4   18 ww
   3E79A    7    0 ww
   5B580    7    1 ww
   5BB8E   44  900 ww
   5BB94   46 FFA0 ww
   5B58E   40 FB11 ww
   5B592   BC FFEB ww
   5B5AE   B8    0 ww
   5B5B4   A8    0 ww
    1190   10   10 ww
    1194   18 58B8 ww
