   963CC    3    0 w
    11AC   3E    C w
    1178   10    0 w
    1186   11    1 w
    1190   10    5 w
    1194   18  D3A w
    119C   14 184C w
    1178   10    4 w
    1178   10    3 w
    1178   10    2 w
    1178   10    1 w
    1186   11    2 w
    1190   10    2 w
    1194   18  D3E w
    119C   14 1888 w
    1186   11    3 w
    1194   18  D42 w
    119C   14 18C4 w
    1186   11    4 w
    1194   18  D46 w
    119C   14 1900 w
    1186   11    5 w
    1194   18  D4A w
    119C   14 1940 w
    1186   11   FF w
    11B6   10    E w
    11C0   18  D32 w
    11C8   14 1940 w
   31E9A   A4    1 w
   31EA0    C   44 w
   31EA6    E    0 w
   327BA   A5    4 w
   327C0   AA    8 w
   327C4    E    2 w
   327C8   A6    0 w
   327CE   34    1 w
    1194   18  D94 w
    119C   14 1B28 w
    11AC   3E   18 w
   32820    E    4 w
   32826   A0    4 w
   3282C   AC    2 w
   32834   AD    2 w
   32838   A0    3 w
   32838   A0    2 w
   32838   A0    1 w
   32838   A0    0 w
     FFA    1    1 w
   32884   AE FFF8 w
   3288A   AE    0 w
   3288E   AA    7 w
   3289C   A6    2 w
   328A0    E    6 w
   328A6   AB    0 w
   328AC   40  233 w
   328B2   42 FFA4 w
   9A166   40  1D7 w
   9A178   20  DF1 w
   9A178   22 D700 w
   328DA   AD    2 w
   328E8   AB    1 w
   315B0   48  DF1 w
   9A166   40  17B w
   9A178   20  DF3 w
   9A178   22 5200 w
   328E8   AB    2 w
   315B0   48  DF3 w
   9A166   40  11F w
   9A178   20  DF4 w
   9A178   22 7100 w
   328E8   AB    3 w
   315B0   48  DF4 w
   9A166   40   C3 w
   9A178   20  DF5 w
   9A178   22 3400 w
   328E8   AB    4 w
   315B0   48  DF5 w
   9A166   40   67 w
   9A178   22 9B00 w
   328E8   AB    5 w
   9A166   40    B w
   9A178   22 A600 w
   328E8   AB    6 w
   32900   AC    1 w
   32920   A0    4 w
   32926    E    4 w
   3288E   AA    6 w
   3289C   A6    4 w
   9A178   20  DF7 w
   9A178   22 7D00 w
   315B0   48  DF7 w
   9A178   20  DF8 w
   9A178   22 F800 w
   315B0   48  DF8 w
   9A178   20  DFA w
   9A178   22 1700 w
   315B0   48  DFA w
   9A178   22 DA00 w
   9A178   20  DFB w
   9A178   22 4100 w
   315B0   48  DFB w
   9A178   22 4C00 w
   32900   AC    0 w
   32908   AC    2 w
   3290C   A5    3 w
   32912   10    3 w
   32918    E    2 w
    1194   18  D98 w
    119C   14 1AD2 w
   3288E   AA    5 w
   3289C   A6    6 w
   9A178   20  DFD w
   9A178   22 2300 w
   315B0   48  DFD w
   9A178   20  DFE w
   9A178   22 9E00 w
   315B0   48  DFE w
   9A178   20  DFF w
   9A178   22 BD00 w
   315B0   48  DFF w
   9A178   20  E00 w
   9A178   22 8000 w
   315B0   48  E00 w
   9A178   22 E700 w
   9A178   22 F200 w
   3288E   AA    4 w
   3289C   A6    0 w
   9A178   20  E02 w
   9A178   22 C900 w
   315B0   48  E02 w
   9A178   20  E04 w
   9A178   22 4400 w
   315B0   48  E04 w
   9A178   20  E05 w
   9A178   22 6300 w
   315B0   48  E05 w
   9A178   20  E06 w
   9A178   22 2600 w
   315B0   48  E06 w
   9A178   22 8D00 w
   9A178   22 9800 w
   3290C   A5    2 w
    1194   18  D9C w
    119C   14 1A9C w
   3288E   AA    3 w
   9A178   20  E08 w
   9A178   22 6F00 w
   315B0   48  E08 w
   9A178   20  E09 w
   9A178   22 EA00 w
   315B0   48  E09 w
   9A178   20  E0B w
   9A178   22  900 w
   315B0   48  E0B w
   9A178   22 CC00 w
   9A178   20  E0C w
   9A178   22 3300 w
   315B0   48  E0C w
   9A178   22 3E00 w
   3288E   AA    2 w
   9A178   20  E0E w
   9A178   22 1500 w
   315B0   48  E0E w
   9A178   20  E0F w
   9A178   22 9000 w
   315B0   48  E0F w
   9A178   20  E10 w
   9A178   22 AF00 w
   ABDFC   6B   FF w
   ABE10   20  E0F w
   ABE16   9E    2 w
   9A178   22 7200 w
   9A178   22 D900 w
   9A178   22 E400 w
   3290C   A5    1 w
    1194   18  DA0 w
    119C   14 1A5E w
   3288E   AA    1 w
   9A178   20  E11 w
   9A178   22 BB00 w
   9A178   22 3600 w
   9A178   22 5500 w
   9A178   22 1800 w
   9A178   22 7F00 w
   9A178   22 8A00 w
   3288E   AA    0 w
   9A178   22 6100 w
   9A178   22 DC00 w
   9A178   22 FB00 w
   9A178   22 BE00 w
   9A178   22 2500 w
   9A178   22 3000 w
   3292C    E    8 w
    1190   10    6 w
    1194   18  DA4 w
    119C   14 1A20 w
    1178   10    5 w
    1186   11    8 w
    1194   18  DA8 w
    119C   14 19EA w
    1190   10    4 w
    1194   18  DAC w
    119C   14 198A w
    11B6   10    2 w
    11C0   18  DAC w
    11C8   14 198A w
   3264A    C   24 w
   3264A    E    0 w
   32650   A2    0 w
    1194   18  D54 w
    1194   18  D58 w
    1194   18  D5C w
    1194   18  D60 w
    1194   18  D64 w
    1194   18  D68 w
    11C0   18  D50 w
   31E9A   A4    0 w
   31EA0    C    0 w
   31760    E    2 w
   31764   A4    0 w
   31768   A8    0 w
    286A   6C 8E68 w
   31792    C    4 w
   31792    E    0 w
   33DD8   2C   10 w
   33DD8   2E 80BC w
   33DDE   A0   15 w
   317C4    E    2 w
   3376C   6E   A0 w
   33772   70    0 w
   317DE   A0   15 w
   317E4   AB    3 w
   334C8    4   10 w
   317F2   2C   10 w
   317F2   2E 7E3C w
   317F6   86    0 w
    1190   10    7 w
    1194   18  C60 w
    119C   14 10D8 w
    1178   10    6 w
     E08   20  E0F w
     E08   22 3000 w
     E12   28   9F w
     E12   2A 1200 w
   3183E   AB    2 w
   3185C   A0   14 w
   315B6   4A   9F w
     E12   28   9E w
     E12   2A 2400 w
   3183E   AB    1 w
   3185C   A0   13 w
   315B6   4A   9E w
     E12   28   9D w
     E12   2A 3600 w
   3183E   AB    0 w
   31846   AB    3 w
   3185C   A0   12 w
   315B6   4A   9D w
     E12   28   9C w
     E12   2A 4800 w
   3185C   A0   11 w
   315B6   4A   9C w
     E12   28   9B w
     E12   2A 5A00 w
   3185C   A0   10 w
   315B6   4A   9B w
     E12   28   9A w
     E12   2A 6C00 w
   3185C   A0    F w
   315B6   4A   9A w
    1190   10    8 w
    1194   18  C64 w
    119C   14 1150 w
     E12   28   99 w
     E12   2A 7E00 w
   3185C   A0    E w
   315B6   4A   99 w
    1178   10    7 w
     E12   28   98 w
     E12   2A 9000 w
   3185C   A0    D w
   315B6   4A   98 w
     E12   28   97 w
     E12   2A A200 w
   3185C   A0    C w
   315B6   4A   97 w
     E12   28   96 w
     E12   2A B400 w
   3185C   A0    B w
   315B6   4A   96 w
     E12   28   95 w
     E12   2A C600 w
   3185C   A0    A w
   315B6   4A   95 w
     E12   28   94 w
     E12   2A D800 w
   3185C   A0    9 w
   315B6   4A   94 w
     E12   28   93 w
     E12   2A EA00 w
   3185C   A0    8 w
   315B6   4A   93 w
     E12   28   92 w
     E12   2A FC00 w
   3185C   A0    7 w
   315B6   4A   92 w
    1190   10    A w
    1194   18  C68 w
    119C   14 11B8 w
     E12   2A  E00 w
   3185C   A0    6 w
    1178   10    9 w
     E12   28   91 w
     E12   2A 2000 w
   3185C   A0    5 w
   315B6   4A   91 w
    1178   10    8 w
     E12   28   90 w
     E12   2A 3200 w
   3185C   A0    4 w
   315B6   4A   90 w
     E12   28   8F w
     E12   2A 4400 w
   3185C   A0    3 w
   315B6   4A   8F w
     E12   28   8E w
     E12   2A 5600 w
   3185C   A0    2 w
   315B6   4A   8E w
     E12   28   8D w
     E12   2A 6800 w
   3185C   A0    1 w
   315B6   4A   8D w
     E12   28   8C w
     E12   2A 7A00 w
   3185C   A0    0 w
   31872   A0   15 w
   315B6   4A   8C w
     E12   28   8B w
     E12   2A 5000 w
   315B6   4A   8B w
     E12   28   8A w
     E12   2A 2600 w
   315B6   4A   8A w
     E12   28   88 w
   315B6   4A   88 w
    1194   18  C6C w
    119C   14 1246 w
     E12   28   87 w
     E12   2A D200 w
   315B6   4A   87 w
     E12   28   86 w
     E12   2A A800 w
   315B6   4A   86 w
     E12   28   85 w
   315B6   4A   85 w
     E12   28   84 w
     E12   2A 5400 w
   315B6   4A   84 w
     E12   28   83 w
     E12   2A 2A00 w
   315B6   4A   83 w
     E12   28   82 w
     E12   2A    0 w
   33502    4   11 w
   315B6   4A   82 w
     E08   20  E0E w
     E08   22 8200 w
     E12   28   80 w
     E12   2A DC00 w
   315B6   4A   80 w
    1194   18  C70 w
    119C   14 1282 w
     E08   20  E0D w
     E08   22 D400 w
     E12   28   7F w
     E12   2A B800 w
   315B0   48  E0D w
   315B6   4A   7F w
     E08   22 2600 w
     E12   28   7E w
     E12   2A 9400 w
   315B6   4A   7E w
     E08   20  E0C w
     E08   22 7800 w
     E12   28   7D w
     E12   2A 7000 w
   315B6   4A   7D w
     E08   20  E0B w
     E08   22 CA00 w
     E12   28   7C w
     E12   2A 4C00 w
   315B6   4A   7C w
     E08   22 1C00 w
     E12   28   7B w
     E12   2A 2800 w
   33502    4   10 w
   315B6   4A   7B w
     E12   28   79 w
     E12   2A FE00 w
   315B6   4A   79 w
     E12   28   78 w
     E12   2A D400 w
   315B6   4A   78 w
     E12   28   77 w
     E12   2A AA00 w
   315B6   4A   77 w
    11B6   10    A w
    11C0   18  C5C w
    11C8   14 12C6 w
     E08   20  E0A w
     E08   22 6E00 w
     E12   28   76 w
     E12   2A 8600 w
   315B0   48  E0A w
   315B6   4A   76 w
     E08   20  E09 w
     E08   22 C000 w
     E12   28   75 w
     E12   2A 6200 w
   315B6   4A   75 w
     E08   22 1200 w
     E12   28   74 w
     E12   2A 3E00 w
   315B6   4A   74 w
     E08   20  E08 w
     E08   22 6400 w
     E12   28   73 w
     E12   2A 1A00 w
   315B6   4A   73 w
     E08   20  E07 w
     E08   22 B600 w
     E12   28   71 w
     E12   2A F600 w
   315B0   48  E07 w
   315B6   4A   71 w
     E08   22  800 w
     E12   28   70 w
   315B6   4A   70 w
     E12   28   6F w
   315B6   4A   6F w
     E12   28   6E w
   315B6   4A   6E w
     E12   28   6D w
   315B6   4A   6D w
     E08   20  E06 w
     E08   22 5A00 w
     E12   28   6C w
     E12   2A 3000 w
   315B6   4A   6C w
     E08   20  E05 w
     E08   22 AC00 w
     E12   28   6B w
     E12   2A  C00 w
   315B6   4A   6B w
     E08   20  E04 w
     E08   22 FE00 w
     E12   28   69 w
     E12   2A E800 w
   315B6   4A   69 w
     E12   28   68 w
     E12   2A BE00 w
   315B6   4A   68 w
     E12   28   67 w
   315B6   4A   67 w
     E12   28   66 w
     E12   2A 6A00 w
   315B6   4A   66 w
     E08   22 5000 w
     E12   28   65 w
     E12   2A 4600 w
   315B6   4A   65 w
     E08   20  E03 w
     E08   22 A200 w
     E12   28   64 w
     E12   2A 2200 w
   315B0   48  E03 w
   315B6   4A   64 w
     E08   20  E02 w
     E08   22 F400 w
     E12   28   62 w
   315B6   4A   62 w
     E12   28   61 w
   33594    C   38 w
   33594    E    0 w
   315B6   4A   61 w
   32494    C   24 w
   3249A   A2   38 w
   31EA0    C   38 w
   33922   A5    2 w
   33BE0   AA    2 w
   32464    E    2 w
   32468   A6    0 w
   3246E   34    1 w
   324CA    E    4 w
   324D0   A0    4 w
   324D6   AC    2 w
   324DE   AD    2 w
   324E2   A0    3 w
   324E2   A0    2 w
   324E2   A0    1 w
   324E2   A0    0 w
   3252E   AE FFF8 w
   32534   AE    0 w
   32538   AA    1 w
   32546   A6    2 w
   3254A    E    6 w
   32550   AB    0 w
   32556   40  233 w
   3255C   42 FFA4 w
   9A178   22 CB00 w
   32584   AD    2 w
   32592   AB    1 w
   9A178   22 4600 w
   32592   AB    2 w
   9A178   20  E07 w
   9A178   22 6500 w
   32592   AB    3 w
   9A178   22 2800 w
   32592   AB    4 w
   9A178   22 8F00 w
   32592   AB    5 w
   9A178   22 9A00 w
   32592   AB    6 w
   325AA   AC    1 w
   32606   A0    8 w
   3260C    E    4 w
   324E2   A0    7 w
   324E2   A0    6 w
   324E2   A0    5 w
   324E2   A0    4 w
   32538   AA    0 w
   32546   A6    4 w
   9A178   20  E0A w
   9A178   22 EC00 w
   9A178   20  E0D w
   9A178   22  B00 w
   9A178   22 CE00 w
   9A178   22 3500 w
   9A178   22 4000 w
   32612    E    8 w
